chleb,bułka,bagietka
cukierki,batoniki,ciasto,żelki
jabłko,banan,mandarynka,pomarańcza
pomidor,czosnek,papryka,ziemniak,cebula
ser żółty,mleko,śmietana,serek
szynka,wołowina,kurczak,schab
wódka,whiskey,szampan
woda,tymbark,pepsi,cola,sok
mydło,chusteczki,papier toaletowy,szczoteczki
lody,warzywa mrożone,pizza
pieprz,sól,cukier,mąka,proszek do pieczenia
